iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,238,0,50,188,0.21008403361344538,0.7983193397521973
1,50,238,5,45,143,0.39915966386554624,0.7310924530029297
2,95,238,7,43,100,0.5798319327731093,0.7941176295280457
3,138,238,17,33,67,0.7184873949579832,0.8571428656578064
4,171,238,29,21,46,0.8067226890756303,0.894957959651947
5,192,238,39,11,35,0.8529411764705882,0.8907563090324402
6,203,238,43,7,28,0.8823529411764706,0.8739495873451233
7,210,238,44,6,22,0.907563025210084,0.9369747638702393
8,216,238,50,0,22,0.907563025210084,0.9159663915634155
9,216,238,49,1,21,0.9117647058823529,0.924369752407074
