iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,238,2,48,190,0.20168067226890757,0.743697464466095
1,48,238,4,46,144,0.3949579831932773,0.831932783126831
2,94,238,10,40,104,0.5630252100840336,0.8361344337463379
3,134,238,15,35,69,0.7100840336134454,0.8277310729026794
4,169,238,29,21,48,0.7983193277310925,0.8823529481887817
5,190,238,37,13,35,0.8529411764705882,0.8991596698760986
6,203,238,39,11,24,0.8991596638655462,0.9033613204956055
7,214,238,46,4,20,0.9159663865546218,0.9117646813392639
8,218,238,49,1,19,0.9201680672268907,0.9285714030265808
9,219,238,50,0,19,0.9201680672268907,0.924369752407074
