iteration,already_cleaned_rows,total_corrupted_rows,false_corruption_alarm,correct_corruption_alarm,corruption_not_detected_yet,fraction_data_cleaned,model_score
0,0,238,0,50,188,0.21008403361344538,
1,50,238,7,43,145,0.3907563025210084,
2,93,238,10,40,105,0.5588235294117647,
3,133,238,22,28,77,0.6764705882352942,
4,161,238,24,26,51,0.7857142857142857,
5,187,238,35,15,36,0.8487394957983193,
6,202,238,43,7,29,0.8781512605042017,
7,209,238,45,5,24,0.8991596638655462,
8,214,238,45,5,19,0.9201680672268907,
9,219,238,49,1,18,0.9243697478991597,
